cityAsciiName,stateProvAsciiName,twoCharCountryCode
Blowing Point Village,Blowing Point,AI
Sandy Hill,Sandy Hill,AI
Sarande,Vlore,AL
Tepelene,Gjirokaster,AL
Polican,Berat,AL
Pogradec,Korce,AL
Peshkopi,Diber,AL
Permet,Gjirokaster,AL
Kukes,Kukes,AL
Korce,Korce,AL
Gramsh,Elbasan,AL
Gjirokaster,Gjirokaster,AL
Erseke,Korce,AL
Elbasan,Elbasan,AL
Corovode,Berat,AL
Burrel,Diber,AL
Bulqize,Diber,AL
Bilisht,Korce,AL
Librazhd-Qender,Elbasan,AL
Vlore,Vlore,AL
Tirana,Tirana,AL
Shkoder,Shkoder,AL
Shijak,Durres,AL
Selenice,Vlore,AL
Rrogozhine,Tirana,AL
Rreshen,Lezhe,AL
Roskovec,Fier,AL
Puke,Shkoder,AL
Peqin,Elbasan,AL
Patos Fshat,Fier,AL
Patos,Fier,AL
Mamurras,Lezhe,AL
Lushnje,Fier,AL
Lezhe,Lezhe,AL
Lac,Lezhe,AL
Kucove,Berat,AL
Kruje,Durres,AL
Kavaje,Tirana,AL
Kamez,Tirana,AL
Fushe-Kruje,Durres,AL
Fier-Cifci,Fier,AL
Fier,Fier,AL
Durres,Durres,AL
Cerrik,Elbasan,AL
Berat,Berat,AL
Ballsh,Fier,AL
Yeghegnadzor,Vayots Dzor,AM
Vedi,Ararat,AM
Vayk',Vayots Dzor,AM
Kapan,Syunik,AM
Goris,Syunik,AM
Hats'avan,Syunik,AM
Artashat,Ararat,AM
Ararat,Ararat,AM
Yerevan,Yerevan,AM
Vagharshapat,Armavir,AM
Yeghvard,Kotayk,AM
Vardenis,Gegharkunik,AM
Vardenik,Gegharkunik,AM
Tashir,Lori,AM
Stepanavan,Lori,AM
Spitak,Lori,AM
Sevan,Gegharkunik,AM
Sarukhan,Gegharkunik,AM
Sardarapat,Armavir,AM
Noyemberyan,Tavush,AM
Noratus,Gegharkunik,AM
Nerkin Getashen,Gegharkunik,AM
Metsamor,Armavir,AM
Masis,Ararat,AM
Martuni,Gegharkunik,AM
Vanadzor,Lori,AM
Karanlukh,Gegharkunik,AM
Gavar,Gegharkunik,AM
Ijevan,Tavush,AM
Hrazdan,Kotayk,AM
Armavir,Armavir,AM
Gyumri,Shirak,AM
Garrni,Kotayk,AM
Dilijan,Tavush,AM
Ch'arents'avan,Kotayk,AM
Chambarak,Gegharkunik,AM
Byureghavan,Kotayk,AM
Berd,Tavush,AM
Ashtarak,Aragatsotn,AM
Aparan,Aragatsotn,AM
Alaverdi,Lori,AM
Akhuryan,Shirak,AM
Abovyan,Kotayk,AM
Saurimo,Lunda Sul,AO
Lucapa,Luanda Norte,AO
Dundo,Luanda Norte,AO
Luau,Moxico,AO
Leua,Moxico,AO
Uige,Uige,AO
Soio,Zaire,AO
N'zeto,Zaire,AO
N'dalatando,Cuanza Norte,AO
Mbanza Kongo,Zaire,AO
Malanje,Malanje,AO
Luanda,Luanda,AO
Caxito,Bengo,AO
Camabatela,Cuanza Norte,AO
Cabinda,Cabinda,AO
Uacu Cungo,Kwanza Sul,AO
Sumbe,Kwanza Sul,AO
Quibala,Kwanza Sul,AO
Ondjiva,Cunene,AO
Mocamedes,Namibe,AO
Menongue,Cuando Cobango,AO
Luena,Moxico,AO
Lubango,Huila,AO
Longonjo,Huambo,AO
Lobito,Benguela,AO
Cuito,Bie,AO
Huambo,Huambo,AO
Chissamba,Bie,AO
Catumbela,Benguela,AO
Catabola,Bie,AO
Camacupa,Bie,AO
Caconda,Huila,AO
Caala,Huambo,AO
Benguela,Benguela,AO
Chela,Huambo,AO
Zarate,Buenos Aires,AR
Wanda,Misiones,AR
Villa Ortuzar,Buenos Aires F.D.,AR
Villa Ocampo,Santa Fe,AR
Villa Maria Grande,Entre Rios,AR
Villa Lugano,Buenos Aires F.D.,AR
Villa Hernandarias,Entre Rios,AR
Villaguay,Entre Rios,AR
Villa Gesell,Buenos Aires,AR
Villa Elisa,Entre Rios,AR
Villa de Mayo,Buenos Aires,AR
Veinticinco de Mayo,Misiones,AR
Urdinarrain,Entre Rios,AR
Tortuguitas,Buenos Aires,AR
Tigre,Buenos Aires,AR
Tandil,Buenos Aires,AR
San Vicente,Misiones,AR
Santo Tome,Corrientes,AR
Santos Lugares,Buenos Aires,AR
Santo Pipo,Misiones,AR
Santa Rosa,Corrientes,AR
Santa Lucia,Corrientes,AR
Santa Elena,Entre Rios,AR
San Salvador,Entre Rios,AR
San Pedro,Buenos Aires,AR
San Pedro,Misiones,AR
San Miguel,Corrientes,AR
San Luis del Palmar,Corrientes,AR
San Lorenzo,Corrientes,AR
San Jose de Feliciano,Entre Rios,AR
San Jose,Misiones,AR
San Javier,Santa Fe,AR
San Isidro,Buenos Aires,AR
San Clemente del Tuyu,Buenos Aires,AR
Saladas,Corrientes,AR
Rosario del Tala,Entre Rios,AR
Retiro,Buenos Aires F.D.,AR
Resistencia,Chaco,AR
Reconquista,Santa Fe,AR
Quilmes,Buenos Aires,AR
Puerto Vilelas,Chaco,AR
Puerto Tirol,Chaco,AR
Puerto Rico,Misiones,AR
Puerto Piray,Misiones,AR
Puerto Libertad,Misiones,AR
Puerto Iguazu,Misiones,AR
Puerto Esperanza,Misiones,AR
Puerto Eldorado,Misiones,AR
Presidencia de la Plaza,Chaco,AR
Posadas,Misiones,AR
Pontevedra,Buenos Aires,AR
Pirane,Formosa,AR
Pilar,Buenos Aires,AR
Perugorria,Corrientes,AR
Paso de los Libres,Corrientes,AR
Paso de la Patria,Corrientes,AR
Panambi,Misiones,AR
Pampa del Indio,Chaco,AR
Palo Santo,Formosa,AR
Obera,Misiones,AR
Nuestra Senora del Rosario de Caa Cati,Corrientes,AR
Necochea,Buenos Aires,AR
Muniz,Buenos Aires,AR
Moron,Buenos Aires,AR
Monte Caseros,Corrientes,AR
Montecarlo,Misiones,AR
Mocoreta,Corrientes,AR
Merlo,Buenos Aires,AR
Mercedes,Buenos Aires,AR
Mercedes,Corrientes,AR
Mburucuya,Corrientes,AR
Margarita Belen,Chaco,AR
Mar del Plata,Buenos Aires,AR
Malabrigo,Santa Fe,AR
Macia,Entre Rios,AR
Lujan,Buenos Aires,AR
Los Polvorines,Buenos Aires,AR
Las Toscas,Santa Fe,AR
Larroque,Entre Rios,AR
La Plata,Buenos Aires,AR
La Paz,Entre Rios,AR
La Leonesa,Chaco,AR
La Cruz,Corrientes,AR
Jardin America,Misiones,AR
Itati,Corrientes,AR
Ibarreta,Formosa,AR
Hurlingham,Buenos Aires,AR
Gualeguaychu,Entre Rios,AR
Gualeguay,Entre Rios,AR
Goya,Corrientes,AR
Gobernador Roca,Misiones,AR
Gobernador Virasora,Corrientes,AR
General Pacheco,Buenos Aires,AR
General Jose de San Martin,Chaco,AR
Garupa,Misiones,AR
Garuhape,Misiones,AR
Formosa,Formosa,AR
Fontana,Chaco,AR
Federal,Entre Rios,AR
Federacion,Entre Rios,AR
Esquina,Corrientes,AR
El Soberbio,Misiones,AR
El Colorado,Formosa,AR
El Alcazar,Misiones,AR
Dos de Mayo,Misiones,AR
Don Torcuato,Buenos Aires,AR
Dolores,Buenos Aires,AR
Curuzu Cuatia,Corrientes,AR
Corrientes,Corrientes,AR
Concordia,Entre Rios,AR
Concepcion del Uruguay,Entre Rios,AR
Concepcion de la Sierra,Misiones,AR
Comandante Fontana,Formosa,AR
Colonia Aurora,Misiones,AR
Colegiales,Buenos Aires F.D.,AR
Clorinda,Formosa,AR
Chajari,Entre Rios,AR
Cerro Azul,Misiones,AR
Capiovi,Misiones,AR
Candelaria,Misiones,AR
Campo Viera,Misiones,AR
Campo Ramon,Misiones,AR
Campo Grande,Misiones,AR
Campana,Buenos Aires,AR
Buenos Aires,Buenos Aires F.D.,AR
Bovril,Entre Rios,AR
Boedo,Buenos Aires F.D.,AR
Bernardo de Irigoyen,Misiones,AR
Berazategui,Buenos Aires,AR
Belgrano,Buenos Aires F.D.,AR
Barranqueras,Chaco,AR
Barracas,Buenos Aires F.D.,AR
Balcarce,Buenos Aires,AR
Azul,Buenos Aires,AR
Avellaneda,Santa Fe,AR
Aristobulo del Valle,Misiones,AR
Alvear,Corrientes,AR
Alba Posse,Misiones,AR
Zapala,Neuquen,AR
Yuto,Jujuy,AR
Yerba Buena,Tucuman,AR
Yacimiento Rio Turbio,Santa Cruz,AR
Villa Regina,Rio Negro,AR
Villa Paula de Sarmiento,San Juan,AR
Villa Ojo de Agua,Santiago del Estero,AR
Villa Nueva,Cordoba,AR
Villa Maria,Cordoba,AR
Villa La Angostura,Neuquen,AR
Villa Huidobro,Cordoba,AR
Villa General Belgrano,Cordoba,AR
Villa Dolores,Cordoba,AR
Villa de Soto,Cordoba,AR
Villa del Totoral,Cordoba,AR
Villa Constitucion,Santa Fe,AR
Chanar Ladeado,Santa Fe,AR
Villa Carlos Paz,Cordoba,AR
Villa Canas,Santa Fe,AR
Villa Berthet,Chaco,AR
Villa Angela,Chaco,AR
Villa Allende,Cordoba,AR
Viedma,Rio Negro,AR
Vicuna Mackenna,Cordoba,AR
Victorica,La Pampa,AR
Victoria,Entre Rios,AR
Viale,Entre Rios,AR
Vera,Santa Fe,AR
Venado Tuerto,Santa Fe,AR
Veinticinco de Mayo,La Pampa,AR
Veinticinco de Mayo,Buenos Aires,AR
Valle Hermoso,Cordoba,AR
Ushuaia,Tierra del Fuego,AR
Unquillo,Cordoba,AR
Trevelin,Chubut,AR
Tres Isletas,Chaco,AR
Tres Arroyos,Buenos Aires,AR
Trelew,Chubut,AR
Trancas,Tucuman,AR
Totoras,Santa Fe,AR
Tostado,Santa Fe,AR
Tinogasta,Catamarca,AR
Tilisarao,San Luis,AR
Tilcara,Jujuy,AR
Termas de Rio Hondo,Santiago del Estero,AR
Tartagal,Salta,AR
Tancacha,Cordoba,AR
Tafi Viejo,Tucuman,AR
Taco Pozo,Chaco,AR
Suncho Corral,Santiago del Estero,AR
Sunchales,Santa Fe,AR
Simoca,Tucuman,AR
Sierra Grande,Rio Negro,AR
Senillosa,Neuquen,AR
Sastre,Santa Fe,AR
Sarmiento,Chubut,AR
Santo Tome,Santa Fe,AR
Santiago del Estero,Santiago del Estero,AR
Santa Sylvina,Chaco,AR
Santa Rosa de Rio Primero,Cordoba,AR
Santa Rosa de Calamuchita,Cordoba,AR
Santa Rosa,La Pampa,AR
Santa Lucia,San Juan,AR
Santa Fe,Santa Fe,AR
San Salvador de Jujuy,Jujuy,AR
San Ramon de la Nueva Oran,Salta,AR
San Rafael,Mendoza,AR
San Pedro de Jujuy,Jujuy,AR
San Nicolas de los Arroyos,Buenos Aires,AR
San Miguel de Tucuman,Tucuman,AR
San Martin de los Andes,Neuquen,AR
San Martin,Mendoza,AR
San Martin,San Juan,AR
San Luis,San Luis,AR
San Justo,Santa Fe,AR
San Juan,San Juan,AR
San Jose de Jachal,San Juan,AR
San Jorge,Santa Fe,AR
San Francisco,Cordoba,AR
Catamarca,Catamarca,AR
San Cristobal,Santa Fe,AR
San Carlos Centro,Santa Fe,AR
San Bernardo,Chaco,AR
San Benito,Entre Rios,AR
San Antonio Oeste,Rio Negro,AR
San Agustin de Valle Fertil,San Juan,AR
Sampacho,Cordoba,AR
Salta,Salta,AR
Salsipuedes,Cordoba,AR
Rufino,Santa Fe,AR
Rosario,Santa Fe,AR
Roldan,Santa Fe,AR
Rio Tercero,Cordoba,AR
Rio Segundo,Cordoba,AR
Rio Primero,Cordoba,AR
Rio Grande,Tierra del Fuego,AR
Rio Gallegos,Santa Cruz,AR
Rio Cuarto,Cordoba,AR
Rio Ceballos,Cordoba,AR
Recreo,Santa Fe,AR
Recreo,Catamarca,AR
Realico,La Pampa,AR
Rawson,Chubut,AR
Rafaela,Santa Fe,AR
Rada Tilly,Chubut,AR
Quitilipi,Chaco,AR
Quimili,Santiago del Estero,AR
Punta Alta,Buenos Aires,AR
Puerto San Julian,Santa Cruz,AR
Puerto Madryn,Chubut,AR
Puerto Deseado,Santa Cruz,AR
Presidencia Roque Saenz Pena,Chaco,AR
Pozo del Molle,Cordoba,AR
Pocito,San Juan,AR
Plottier,Neuquen,AR
Plaza Huincul,Neuquen,AR
Pilar,Cordoba,AR
Pico Truncado,Santa Cruz,AR
Pergamino,Buenos Aires,AR
Perez,Santa Fe,AR
Parana,Entre Rios,AR
Pampa del Infierno,Chaco,AR
Palpala,Jujuy,AR
Palma Sola,Jujuy,AR
Oncativo,Cordoba,AR
Oliva,Cordoba,AR
Olavarria,Buenos Aires,AR
Nueve de Julio,Buenos Aires,AR
Nueve de Julio,San Juan,AR
Neuquen,Neuquen,AR
Morteros,Cordoba,AR
Monteros,Tucuman,AR
Monte Maiz,Cordoba,AR
Monte Cristo,Cordoba,AR
Monte Buey,Cordoba,AR
Mina Clavero,Cordoba,AR
Merlo,San Luis,AR
Mendoza,Mendoza,AR
Marcos Juarez,Cordoba,AR
Malvinas Argentinas,Cordoba,AR
Malagueno,Cordoba,AR
Machagai,Chaco,AR
Los Frentones,Chaco,AR
Los Altos,Catamarca,AR
Lincoln,Buenos Aires,AR
Libertador General San Martin,Jujuy,AR
Leones,Cordoba,AR
La Toma,San Luis,AR
Las Varillas,Cordoba,AR
Las Rosas,Santa Fe,AR
Las Parejas,Santa Fe,AR
Las Lomitas,Formosa,AR
Las Lajitas,Salta,AR
Las Higueras,Cordoba,AR
Las Heras,Santa Cruz,AR
Las Brenas,Chaco,AR
La Rioja,La Rioja,AR
La Quiaca,Jujuy,AR
Lamarque,Rio Negro,AR
Laguna Paiva,Santa Fe,AR
Laguna Larga,Cordoba,AR
La Falda,Cordoba,AR
La Cumbre,Cordoba,AR
La Cocha,Tucuman,AR
La Carlota,Cordoba,AR
La Calera,Cordoba,AR
Laboulaye,Cordoba,AR
Laborde,Cordoba,AR
Justo Daract,San Luis,AR
Justiniano Posse,Cordoba,AR
Junin de los Andes,Neuquen,AR
Junin,Buenos Aires,AR
Joaquin V. Gonzalez,Salta,AR
Jesus Maria,Cordoba,AR
Intendente Alvear,La Pampa,AR
Ingenio La Esperanza,Jujuy,AR
Ingeniero Luis A. Huergo,Rio Negro,AR
Ingeniero Jacobacci,Rio Negro,AR
Ingeniero Guillermo N. Juarez,Formosa,AR
Icano,Catamarca,AR
Humahuaca,Jujuy,AR
Huinca Renanco,Cordoba,AR
Huillapima,Catamarca,AR
Huerta Grande,Cordoba,AR
Hernando,Cordoba,AR
Hermoso Campo,Chaco,AR
Guatrache,La Pampa,AR
Graneros,Tucuman,AR
Granadero Baigorria,Santa Fe,AR
Gobernador Galvez,Santa Fe,AR
General Villegas,Buenos Aires,AR
General Roca,Rio Negro,AR
General Ramirez,Entre Rios,AR
General Pinedo,Chaco,AR
General Pico,La Pampa,AR
General Levalle,Cordoba,AR
General Fernandez Oro,Rio Negro,AR
General Mosconi,Salta,AR
General Conesa,Rio Negro,AR
General Cabrera,Cordoba,AR
General Acha,La Pampa,AR
Galvez,Santa Fe,AR
Gaiman,Chubut,AR
Funes,Santa Fe,AR
Fray Luis Beltran,Rio Negro,AR
Fray Luis A. Beltran,Santa Fe,AR
Fraile Pintado,Jujuy,AR
Firmat,Santa Fe,AR
Fiambala,Catamarca,AR
Famailla,Tucuman,AR
Esquel,Chubut,AR
Esperanza,Santa Fe,AR
Embarcacion,Salta,AR
Embalse,Cordoba,AR
El Trebol,Santa Fe,AR
El Quebrachal,Salta,AR
El Galpon,Salta,AR
El Carril,Salta,AR
El Calafate,Santa Cruz,AR
El Bolson,Rio Negro,AR
Eduardo Castex,La Pampa,AR
Diamante,Entre Rios,AR
Devoto,Cordoba,AR
Despenaderos,Cordoba,AR
Dean Funes,Cordoba,AR
Cutral-Co,Neuquen,AR
Cruz del Eje,Cordoba,AR
Cruz Alta,Cordoba,AR
Crespo,Entre Rios,AR
Cosquin,Cordoba,AR
Corzuela,Chaco,AR
Corral de Bustos,Cordoba,AR
Coronel Suarez,Buenos Aires,AR
Coronel Moldes,Cordoba,AR
Coronel Du Graty,Chaco,AR
Coronel Dorrego,Buenos Aires,AR
Coronda,Santa Fe,AR
Cordoba,Cordoba,AR
Concepcion del Bermejo,Chaco,AR
Comodoro Rivadavia,Chubut,AR
Clodomira,Santiago del Estero,AR
Cipolletti,Rio Negro,AR
Cinco Saltos,Rio Negro,AR
Chos Malal,Neuquen,AR
Choele Choel,Rio Negro,AR
Chivilcoy,Buenos Aires,AR
Chimbas,San Juan,AR
Chilecito,La Rioja,AR
Chicoana,Salta,AR
Charata,Chaco,AR
Chamical,La Rioja,AR
Chacabuco,Buenos Aires,AR
Cervantes,Rio Negro,AR
Ceres,Santa Fe,AR
Centenario,Neuquen,AR
Caucete,San Juan,AR
Catriel,Rio Negro,AR
Castelli,Chaco,AR
Casilda,Santa Fe,AR
Carcarana,Santa Fe,AR
Capitan Bermudez,Santa Fe,AR
Capilla del Monte,Cordoba,AR
Capayan,Catamarca,AR
Canals,Cordoba,AR
Canada de Gomez,Santa Fe,AR
Campo Largo,Chaco,AR
Campo Gallo,Santiago del Estero,AR
Calingasta,San Juan,AR
Calilegua,Jujuy,AR
Caleta Olivia,Santa Cruz,AR
Calchaqui,Santa Fe,AR
Caimancito,Jujuy,AR
Cafayate,Salta,AR
Brinkmann,Cordoba,AR
Berrotaran,Cordoba,AR
Beltran,Santiago del Estero,AR
Bell Ville,Cordoba,AR
Bella Vista,Tucuman,AR
Balnearia,Cordoba,AR
Bahia Blanca,Buenos Aires,AR
Avia Terai,Chaco,AR
Arroyo Seco,Santa Fe,AR
Arroyito,Cordoba,AR
Armstrong,Santa Fe,AR
Arias,Cordoba,AR
Arauco,La Rioja,AR
Apolinario Saravia,Salta,AR
Andalgala,Catamarca,AR
Anatuya,Santiago del Estero,AR
Alta Gracia,Cordoba,AR
Almafuerte,Cordoba,AR
Allen,Rio Negro,AR
Alderetes,Tucuman,AR
Albardon,San Juan,AR
Aguilares,Tucuman,AR
Adelia Maria,Cordoba,AR
Abra Pampa,Jujuy,AR
Balvanera,Buenos Aires F.D.,AR
Villa Santa Rita,Buenos Aires F.D.,AR
Villa Mercedes,San Luis,AR
La Punta,San Luis,AR
San Miguel,Buenos Aires,AR
San Carlos de Bariloche,Rio Negro,AR
Rio Turbio,Santa Cruz,AR
Adrogue,Buenos Aires,AR
Ingeniero Pablo Nogues,Buenos Aires,AR
Jose C. Paz,Buenos Aires,AR
Taulaga,Swains Island,AS
Ta`u,Manu'a,AS
Tafuna,Western District,AS
Pago Pago,Eastern District,AS
Neu-Guntramsdorf,Lower Austria,AT
Zirl,Tyrol,AT
Zell am See,Salzburg,AT
Woergl,Tyrol,AT
Wolfurt,Vorarlberg,AT
Woelfnitz,Carinthia,AT
Wimpassing,Upper Austria,AT
Wilten,Tyrol,AT
Wilhelmsburg,Lower Austria,AT
Wiener Neustadt,Lower Austria,AT
Wiener Neudorf,Lower Austria,AT
Vienna,Vienna,AT
Wetzelsdorf,Styria,AT
Wels,Upper Austria,AT
Weiz,Styria,AT
Weinzierl bei Krems,Lower Austria,AT
Wattens,Tyrol,AT
Waltendorf,Styria,AT
Voesendorf,Lower Austria,AT
Vorchdorf,Upper Austria,AT
Voels,Tyrol,AT
Voelkendorf,Carinthia,AT
Voitsberg,Styria,AT
Villach,Carinthia,AT
Viktring,Carinthia,AT
Tulln,Lower Austria,AT
Trofaiach,Styria,AT
Traun,Upper Austria,AT
Traiskirchen,Lower Austria,AT
Ternitz,Lower Austria,AT
Telfs,Tyrol,AT
Strasshof an der Nordbahn,Lower Austria,AT
Strassgang,Styria,AT
Stockerau,Lower Austria,AT
Steyr,Upper Austria,AT
Spratzern,Lower Austria,AT
Spittal an der Drau,Carinthia,AT
Sollenau,Lower Austria,AT
Hall in Tirol,Tyrol,AT
Simmering,Vienna,AT
Seiersberg,Styria,AT
Schwechat,Lower Austria,AT
Schwaz,Tyrol,AT
Sankt Veit an der Glan,Carinthia,AT
Sankt Valentin,Lower Austria,AT
Sankt Ruprecht,Carinthia,AT
Sankt Poelten,Lower Austria,AT
Sankt Peter,Styria,AT
Sankt Peter,Carinthia,AT
Sankt Martin,Carinthia,AT
Sankt Martin,Upper Austria,AT
Sankt Johann in Tirol,Tyrol,AT
Salzburg,Salzburg,AT
Saalfelden am Steinernen Meer,Salzburg,AT
Rum,Tyrol,AT
Ries,Styria,AT
Ried im Innkreis,Upper Austria,AT
Reutte,Tyrol,AT
Rankweil,Vorarlberg,AT
Purkersdorf,Lower Austria,AT
Puntigam,Styria,AT
Pressbaum,Lower Austria,AT
Pradl,Tyrol,AT
Poellau,Styria,AT
Pinkafeld,Burgenland,AT
Perg,Upper Austria,AT
Perchtoldsdorf,Lower Austria,AT
Ottakring,Vienna,AT
Oberwart,Burgenland,AT
Oberndorf bei Salzburg,Salzburg,AT
Neuzeug,Upper Austria,AT
Neusiedl am See,Burgenland,AT
Neunkirchen,Lower Austria,AT
Neuhofen an der Krems,Upper Austria,AT
Muerzzuschlag,Styria,AT
Muehlau,Tyrol,AT
Moedling,Lower Austria,AT
Mistelbach,Lower Austria,AT
Micheldorf in Oberoesterreich,Upper Austria,AT
Meidling,Vienna,AT
Mattighofen,Upper Austria,AT
Mattersburg,Burgenland,AT
Mariatrost,Styria,AT
Maria Enzersdorf,Lower Austria,AT
Marchtrenk,Upper Austria,AT
Lustenau,Vorarlberg,AT
Lochau,Vorarlberg,AT
Linz,Upper Austria,AT
Liezen,Styria,AT
Lienz,Tyrol,AT
Liebenau,Styria,AT
Lichtenegg,Upper Austria,AT
Leopoldsdorf,Lower Austria,AT
Leoben,Styria,AT
Leibnitz,Styria,AT
Lauterach,Vorarlberg,AT
Langenzersdorf,Lower Austria,AT
Landeck,Tyrol,AT
Laakirchen,Upper Austria,AT
Kufstein,Tyrol,AT
Kremsmuenster,Upper Austria,AT
Krems an der Donau,Lower Austria,AT
Kottingbrunn,Lower Austria,AT
Korneuburg,Lower Austria,AT
Knittelfeld,Styria,AT
Klosterneuburg,Lower Austria,AT
Klagenfurt am Woerthersee,Carinthia,AT
Kitzbuehel,Tyrol,AT
Kirchberg in Tirol,Tyrol,AT
Kindberg,Styria,AT
Kalsdorf bei Graz,Styria,AT
Judendorf,Styria,AT
Judenburg,Styria,AT
Jenbach,Tyrol,AT
Innsbruck,Tyrol,AT
Innere Stadt,Vienna,AT
Imst,Tyrol,AT
Hoetting,Tyrol,AT
Horn,Lower Austria,AT
Hoerbranz,Vorarlberg,AT
Hollabrunn,Lower Austria,AT
Hohenems,Vorarlberg,AT
Hoechst,Vorarlberg,AT
Himberg,Lower Austria,AT
Hietzing,Vienna,AT
Hernals,Vienna,AT
Hart,Upper Austria,AT
Hard,Vorarlberg,AT
Hallein,Salzburg,AT
Hainburg an der Donau,Lower Austria,AT
Haid,Upper Austria,AT
Hafendorf,Styria,AT
Haag,Upper Austria,AT
Guntramsdorf,Lower Austria,AT
Gross-Enzersdorf,Lower Austria,AT
Graz,Styria,AT
Gratkorn,Styria,AT
Goetzis,Vorarlberg,AT
Goesting,Styria,AT
Gmunden,Upper Austria,AT
Gleisdorf,Styria,AT
Gerasdorf bei Wien,Lower Austria,AT
Gaenserndorf,Lower Austria,AT
Gallneukirchen,Upper Austria,AT
Fuerstenfeld,Styria,AT
